path	action	reason	replacement	original_sha256	recovery
AGENTS.md	preserve	agent instructions; explicit project authority preserved	-	29fdb67e1b7e3bf819ee45ba7eb96ac831830ee7a9ae18a38f602d16f6c2daa7	git:c6154036880c87db69c880ba36a22087815b48b0:AGENTS.md
CNET-Improvement-Plan-Model-Compression.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	CNET-Improvement-Plan-Model-Compression.md	2e6dd7ac3c4454315d4777e9bee06577bf4f94c4506d93828c221183e397876c	attic/documentation-20260906.tar.gz:CNET-Improvement-Plan-Model-Compression.md
DS4_EXTRACTION.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	DS4_EXTRACTION.md	96ba8e2e631955e72aa0f8d424b93a73ccdf68b3d2303e8f2a223c39eeba356c	attic/documentation-20260906.tar.gz:DS4_EXTRACTION.md
README.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	README.md	9da3e2f1a1c8f94d94a6ac482f964f0ddb927e0d696c9a2d19ddd7319218fdb9	attic/documentation-20260906.tar.gz:README.md
REVIEW_specialist.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	REVIEW_specialist.md	cf0910e47dc7864a748e5282906dee2ec85c0ddfa7a1d809039e2814347047f6	attic/documentation-20260906.tar.gz:REVIEW_specialist.md
artifacts/roe_daily_packs/pack_english_basic/queries_train.txt	preserve	runtime policy/prompt/pack data; preserve consumers	-	ff22c012becd32d56c3d0ebacd21d37636ae2ff3a5e060b831e98934a5a90aa9	git:c6154036880c87db69c880ba36a22087815b48b0:artifacts/roe_daily_packs/pack_english_basic/queries_train.txt
artifacts/roe_daily_packs/pack_ops_hermes_systemd/MANIFEST.txt	preserve	runtime policy/prompt/pack data; preserve consumers	-	8a97c8a088a0381cb35d62c1748c80dd9e3b1523ea54cc004149b1bb7159956d	git:c6154036880c87db69c880ba36a22087815b48b0:artifacts/roe_daily_packs/pack_ops_hermes_systemd/MANIFEST.txt
artifacts/roe_daily_packs/pack_ops_hermes_systemd/queries_train.txt	preserve	runtime policy/prompt/pack data; preserve consumers	-	ed7d97de642ba274fbf5d0b61ab10c8060d34028f84084896ee666def3f0e547	git:c6154036880c87db69c880ba36a22087815b48b0:artifacts/roe_daily_packs/pack_ops_hermes_systemd/queries_train.txt
artifacts/roe_daily_packs/pack_ops_hermes_systemd/taxonomy.txt	preserve	runtime policy/prompt/pack data; preserve consumers	-	169bc4fb70e452367e3a2b97c56adb8e739770adb7921e0469ac1e86aa59e72c	git:c6154036880c87db69c880ba36a22087815b48b0:artifacts/roe_daily_packs/pack_ops_hermes_systemd/taxonomy.txt
attic/README.md	rewrite	current guide rewritten against source; original tutorial/evidence archived	attic/README.md	0862fdc08d22978c739592680f35c1f887912e0d936591fbbda3b362e086324f	attic/documentation-20260906.tar.gz:attic/README.md
