"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipMemcpy",855,46816271,54755.872515,79.11,9278,11863175,405356.310945
"hipGetDeviceCount",1,10868335,10868335.000000,18.37,10868335,10868335,0.00000000e+00
"hipLaunchKernel",269,1251706,4653.182156,2.12,1503,592524,35984.185134
"hipFree",2,122411,61205.500000,0.2069,59933,62478,1799.586758
"hipMalloc",2,34275,17137.500000,0.0579,4068,30207,18483.064153
"__hipPopCallConfiguration",269,18128,67.390335,0.0306,40,3276,200.087723
"__hipPushCallConfiguration",269,16279,60.516729,0.0275,40,1473,96.419388
"hipSetDevice",270,15734,58.274074,0.0266,40,972,84.432541
"hipGetLastError",269,10906,40.542751,0.0184,30,601,41.939756
"__hipRegisterFatBinary",1,9177,9177.000000,0.0155,9177,9177,0.00000000e+00
"__hipRegisterFunction",12,8273,689.416667,0.0140,150,4498,1231.783146
"hipDeviceGetAttribute",3,5421,1807.000000,9.161e-03,121,5119,2868.433022
"hipGetDevicePropertiesR0600",1,802,802.000000,1.355e-03,802,802,0.00000000e+00
