"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipGetDeviceCount",1,12645810,12645810.000000,33.78,12645810,12645810,0.00000000e+00
"hipStreamCreateWithFlags",1,9933367,9933367.000000,26.53,9933367,9933367,0.00000000e+00
"hipLaunchKernel",768,7617006,9917.976562,20.35,1132,762585,38547.737429
"hipMemcpy",1,5214480,5214480.000000,13.93,5214480,5214480,0.00000000e+00
"hipStreamSynchronize",5,786960,157392.000000,2.10,141,439417,179504.282526
"hipStreamDestroy",1,336053,336053.000000,0.8976,336053,336053,0.00000000e+00
"hipHostFree",1,273405,273405.000000,0.7303,273405,273405,0.00000000e+00
"hipMemcpyAsync",13,209556,16119.692308,0.5597,1784,121809,32714.519800
"hipHostMalloc",1,140775,140775.000000,0.3760,140775,140775,0.00000000e+00
"hipMemsetAsync",3,61306,20435.333333,0.1637,6633,47189,23173.261754
"__hipPushCallConfiguration",768,44392,57.802083,0.1186,40,3727,149.889363
"__hipPopCallConfiguration",768,42867,55.816406,0.1145,40,3657,135.054951
"hipMalloc",7,33050,4721.428571,0.0883,711,25908,9373.110776
"hipGetLastError",768,28227,36.753906,0.0754,30,1293,55.391371
"hipFree",7,23764,3394.857143,0.0635,811,16441,5759.456092
"hipSetDevice",270,16888,62.548148,0.0451,40,1993,136.281374
"__hipRegisterFatBinary",2,12092,6046.000000,0.0323,240,11852,8210.923943
"__hipRegisterFunction",20,9147,457.350000,0.0244,121,3646,778.763816
"hipDeviceGetAttribute",3,7944,2648.000000,0.0212,110,7654,4335.464450
"hipGetDevice",1,972,972.000000,2.596e-03,972,972,0.00000000e+00
"hipGetDevicePropertiesR0600",1,831,831.000000,2.220e-03,831,831,0.00000000e+00
