"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipModuleLoad",3,110336007,36778669.000000,75.77,916343,108109621,61774730.147871
"hipGetDeviceCount",3,12342591,4114197.000000,8.48,41,12341939,7125433.593484
"hipStreamCreateWithFlags",1,9747480,9747480.000000,6.69,9747480,9747480,0.00000000e+00
"hipMemcpy",1,6071117,6071117.000000,4.17,6071117,6071117,0.00000000e+00
"hipLaunchKernel",504,2731918,5420.472222,1.88,1493,554683,25837.580283
"hipExtModuleLaunchKernel",264,1321748,5006.621212,0.9077,1733,57398,8144.037755
"__hipRegisterFunction",7304,1006167,137.755613,0.6909,80,27582,382.581992
"hipHostFree",1,505450,505450.000000,0.3471,505450,505450,0.00000000e+00
"hipStreamDestroy",1,343526,343526.000000,0.2359,343526,343526,0.00000000e+00
"hipFree",10,285337,28533.700000,0.1959,832,115157,45739.800260
"hipMemcpyAsync",13,252764,19443.384615,0.1736,2365,128441,33561.035256
"hipGetDevicePropertiesR0600",1075,133710,124.381395,0.0918,90,3547,152.356718
"hipHostMalloc",1,120256,120256.000000,0.0826,120256,120256,0.00000000e+00
"hipStreamSynchronize",5,96931,19386.200000,0.0666,130,34705,16523.390109
"hipMalloc",10,85350,8535.000000,0.0586,712,32181,11139.960832
"hipGetDevice",1072,48439,45.185634,0.0333,30,2334,89.403930
"hipMemsetAsync",3,39554,13184.666667,0.0272,11461,14467,1550.835366
"__hipPushCallConfiguration",504,29791,59.109127,0.0205,40,1863,97.799232
"hipMemset",1,29546,29546.000000,0.0203,29546,29546,0.00000000e+00
"__hipPopCallConfiguration",504,24888,49.380952,0.0171,40,1102,60.695748
"__hipRegisterFatBinary",67,21658,323.253731,0.0149,60,13325,1617.333705
"hipGetLastError",509,18022,35.406680,0.0124,20,932,62.006236
"hipDeviceGetAttribute",13,9791,753.153846,6.724e-03,100,6212,1687.237182
"hipModuleGetFunction",8,8869,1108.625000,6.090e-03,151,2044,754.338109
"hipStreamIsCapturing",1,4308,4308.000000,2.958e-03,4308,4308,0.00000000e+00
"hipSetDevice",6,3388,564.666667,2.327e-03,50,982,330.533912
"hipStreamQuery",1,2154,2154.000000,1.479e-03,2154,2154,0.00000000e+00
"hipRuntimeGetVersion",10,1994,199.400000,1.369e-03,30,932,343.715709
