"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipMemcpy",98,16881791,172263.173469,43.29,21761,13843768,1395586.817130
"hipGetDeviceCount",1,13884043,13884043.000000,35.60,13884043,13884043,0.00000000e+00
"hipLaunchKernel",768,4390922,5717.346354,11.26,1864,566525,28119.835393
"hipDeviceSynchronize",48,3500957,72936.604167,8.98,28534,94498,21152.076365
"hipMemset",24,134803,5616.791667,0.3457,3336,37089,6773.381584
"__hipPushCallConfiguration",768,37419,48.722656,0.0960,40,1884,76.404877
"__hipPopCallConfiguration",768,37295,48.561198,0.0956,40,1163,63.350550
"hipMalloc",6,30991,5165.166667,0.0795,682,25989,10212.622512
"hipGetLastError",768,25939,33.774740,0.0665,20,771,38.012487
"hipFree",6,25309,4218.166667,0.0649,852,18195,6859.364210
"hipSetDevice",291,16599,57.041237,0.0426,40,1953,131.631009
"__hipRegisterFatBinary",2,12643,6321.500000,0.0324,210,12433,8642.966186
"__hipRegisterFunction",20,10567,528.350000,0.0271,120,4328,939.242319
"hipDeviceGetAttribute",3,6813,2271.000000,0.0175,100,6522,3681.755152
"hipGetDevicePropertiesR0600",1,1153,1153.000000,2.957e-03,1153,1153,0.00000000e+00
"hipGetDevice",1,802,802.000000,2.057e-03,802,802,0.00000000e+00
