"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 1",1,0,4160312,1,2,"__amd_rocclr_fillBufferAligned",38,698479916193512,698479916198392,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,2,5,"__amd_rocclr_copyBuffer",40,698479916254473,698479916257513,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,3,23,"join_input(float const*, Scratch*, int, int)",43,698479916864762,698479916867482,0,0,8,0,128,256,1,1,26880,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,4,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",48,698479917409730,698479917424811,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,5,22,"activation(float*, int, int*)",52,698479917429811,698479917431771,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,6,23,"join_input(float const*, Scratch*, int, int)",56,698479917435931,698479917437331,0,0,8,0,128,256,1,1,26880,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,7,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",61,698479917440731,698479917454731,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,8,22,"activation(float*, int, int*)",65,698479917458011,698479917459131,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,9,23,"join_input(float const*, Scratch*, int, int)",69,698479917462691,698479917463931,0,0,8,0,128,256,1,1,26880,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,10,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",74,698479917467691,698479917481811,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,11,22,"activation(float*, int, int*)",78,698479917485171,698479917486492,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,12,23,"join_input(float const*, Scratch*, int, int)",82,698479917490252,698479917491652,0,0,8,0,128,256,1,1,26880,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,13,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",87,698479917495132,698479917509132,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,14,22,"activation(float*, int, int*)",91,698479917512452,698479917513612,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,15,21,"final_input(Scratch*, int, int)",95,698479917517892,698479917518972,0,0,8,0,128,256,1,1,8448,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,16,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",100,698479917522452,698479917527172,0,0,16,0,128,16,16,1,16,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,17,20,"softmax(Scratch*, float const*, float*, int, int*)",104,698479917531132,698479917543132,0,0,48,0,128,128,1,1,128,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,18,19,"transpose_weights(Net const*, Scratch*, int, int)",108,698479917547012,698479917548372,0,0,8,0,128,256,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,19,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",113,698479917551652,698479917553733,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,20,18,"derivative(Scratch*, int, int, int*)",117,698479917557973,698479917559173,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,21,19,"transpose_weights(Net const*, Scratch*, int, int)",121,698479917562493,698479917564013,0,0,8,0,128,256,1,1,4096,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,22,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",126,698479917567213,698479917570493,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,23,18,"derivative(Scratch*, int, int, int*)",130,698479917573853,698479917574973,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,24,19,"transpose_weights(Net const*, Scratch*, int, int)",134,698479917578333,698479917579613,0,0,8,0,128,256,1,1,4096,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,25,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",139,698479917582933,698479917586453,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,26,18,"derivative(Scratch*, int, int, int*)",143,698479917589693,698479917591293,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,27,19,"transpose_weights(Net const*, Scratch*, int, int)",147,698479917594493,698479917595733,0,0,8,0,128,256,1,1,4096,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,28,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",152,698479917599173,698479917602373,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,29,18,"derivative(Scratch*, int, int, int*)",156,698479917605653,698479917606853,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,30,32,"k_sgd_f32(float*, float const*, float const*, int, int, int, int, float)",161,698479917610893,698479917630494,0,0,16,0,128,16,16,1,80,16,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,31,32,"k_sgd_f32(float*, float const*, float const*, int, int, int, int, float)",167,698479917660174,698479917734895,0,0,16,0,128,16,16,1,224,64,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,32,16,"check_weights(float const*, int, int*)",172,698479917767096,698479917769656,0,0,8,0,128,256,1,1,53504,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,33,16,"check_weights(float const*, int, int*)",176,698479917772936,698479917773976,0,0,8,0,128,256,1,1,1280,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,34,17,"reduce_loss(float*, int, int*)",180,698479917777976,698479917789936,0,0,16,0,128,1,1,1,1,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,35,5,"__amd_rocclr_copyBuffer",182,698479917793296,698479917796016,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,36,5,"__amd_rocclr_copyBuffer",183,698479917819496,698479917821497,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,37,2,"__amd_rocclr_fillBufferAligned",185,698479917852457,698479917854457,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,38,5,"__amd_rocclr_copyBuffer",187,698479917901058,698479917903498,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,39,23,"join_input(float const*, Scratch*, int, int)",190,698479917928138,698479917929458,0,0,8,0,128,256,1,1,26880,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,40,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",195,698479917932778,698479917946658,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,41,22,"activation(float*, int, int*)",199,698479917950178,698479917951498,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,42,23,"join_input(float const*, Scratch*, int, int)",203,698479917955299,698479917956539,0,0,8,0,128,256,1,1,26880,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,43,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",208,698479917959979,698479917974259,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,44,22,"activation(float*, int, int*)",212,698479917978099,698479917979219,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,45,23,"join_input(float const*, Scratch*, int, int)",216,698479917982739,698479917984099,0,0,8,0,128,256,1,1,26880,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,46,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",221,698479917987459,698479918001459,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,47,22,"activation(float*, int, int*)",225,698479918005379,698479918006539,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,48,23,"join_input(float const*, Scratch*, int, int)",229,698479918009939,698479918011139,0,0,8,0,128,256,1,1,26880,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,49,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",234,698479918014499,698479918028420,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,50,22,"activation(float*, int, int*)",238,698479918032100,698479918033260,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,51,21,"final_input(Scratch*, int, int)",242,698479918036700,698479918037900,0,0,8,0,128,256,1,1,8448,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,52,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",247,698479918041220,698479918045300,0,0,16,0,128,16,16,1,16,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,53,20,"softmax(Scratch*, float const*, float*, int, int*)",251,698479918049220,698479918060460,0,0,48,0,128,128,1,1,128,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,54,19,"transpose_weights(Net const*, Scratch*, int, int)",255,698479918063940,698479918065100,0,0,8,0,128,256,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,55,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",260,698479918068380,698479918070140,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,56,18,"derivative(Scratch*, int, int, int*)",264,698479918073660,698479918074900,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,57,19,"transpose_weights(Net const*, Scratch*, int, int)",268,698479918078340,698479918079860,0,0,8,0,128,256,1,1,4096,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,58,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",273,698479918083340,698479918086540,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,59,18,"derivative(Scratch*, int, int, int*)",277,698479918089941,698479918091101,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,60,19,"transpose_weights(Net const*, Scratch*, int, int)",281,698479918094741,698479918095981,0,0,8,0,128,256,1,1,4096,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,61,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",286,698479918099581,698479918102781,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,62,18,"derivative(Scratch*, int, int, int*)",290,698479918106421,698479918107541,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,63,19,"transpose_weights(Net const*, Scratch*, int, int)",294,698479918111101,698479918112381,0,0,8,0,128,256,1,1,4096,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,64,33,"k_linear_f32(float const*, float const*, float*, int, int, int, int)",299,698479918115621,698479918118821,0,0,16,0,128,16,16,1,64,128,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,65,18,"derivative(Scratch*, int, int, int*)",303,698479918122421,698479918123581,0,0,8,0,128,256,1,1,8192,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,66,32,"k_sgd_f32(float*, float const*, float const*, int, int, int, int, float)",308,698479918127061,698479918145821,0,0,16,0,128,16,16,1,80,16,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,67,32,"k_sgd_f32(float*, float const*, float const*, int, int, int, int, float)",314,698479918171062,698479918245863,0,0,16,0,128,16,16,1,224,64,1
"KERNEL_DISPATCH","Agent 1",1,0,4160312,68,16,"check_weights(float const*, int, int*)",319,698479918275783,698479918276983,0,0,8,0,128,256,1,1,53504,1,1
