model: /home/marble/AI/Models/Qwen2.5-0.5B/model.safetensors  layers=24 hidden=896 vocab=151936
window: 256 tokens from english_window_256_qwen25.txt (first: 2176 4627 2677 3545)
gpu: gfx1201 x2 (equivalence sweep OK, 0.0 MB will go resident)
determinism spot check: OK
head window: restricted to 256 mined tokens (full-vocab head off for mining)
recert: auditing soul_english_v1.cnb against the current oracle
recert DRIFT acq_tk1800q1800: match=0 miss=235 abstain=21 err=0
recert DRIFT acq_tk4252q4252: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk2462q2462: match=0 miss=189 abstain=20 err=0
recert DRIFT acq_tk3187q3187: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk3627q3627: match=0 miss=186 abstain=20 err=0
recert DRIFT acq_tk13358q13358: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk2591q2591: match=0 miss=89 abstain=17 err=0
recert DRIFT acq_tk3727q3727: match=0 miss=176 abstain=32 err=0
recert DRIFT acq_tk2506q2506: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk3654q3654: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk2940q2940: match=0 miss=185 abstain=22 err=0
recert DRIFT acq_tk2173q2173: match=0 miss=173 abstain=35 err=0
recert DRIFT acq_tk2148q2148: match=0 miss=183 abstain=24 err=0
recert DRIFT acq_tk3075q3075: match=0 miss=184 abstain=22 err=0
recert DRIFT acq_tk4483q4483: match=0 miss=181 abstain=25 err=0
recert DRIFT acq_tk1932q1932: match=0 miss=92 abstain=13 err=0
recert DRIFT acq_tk4721q4721: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk2321q2321: match=0 miss=90 abstain=16 err=0
recert DRIFT acq_tk1972q1972: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk1759q1759: match=0 miss=175 abstain=31 err=0
recert DRIFT acq_tk3446q3446: match=0 miss=190 abstain=18 err=0
recert DRIFT acq_tk3107q3107: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk2686q2686: match=0 miss=181 abstain=25 err=0
recert DRIFT acq_tk1651q1651: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk1845q1845: match=0 miss=89 abstain=17 err=0
recert DRIFT acq_tk5226q5226: match=0 miss=173 abstain=34 err=0
recert DRIFT acq_tk2378q2378: match=0 miss=188 abstain=19 err=0
recert DRIFT acq_tk4988q4988: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk5442q5442: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk2793q2793: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk5004q5004: match=0 miss=90 abstain=16 err=0
recert DRIFT acq_tk3925q3925: match=0 miss=185 abstain=23 err=0
recert DRIFT acq_tk2473q2473: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk1502q1502: match=0 miss=171 abstain=35 err=0
recert DRIFT acq_tk2651q2651: match=0 miss=176 abstain=30 err=0
recert DRIFT acq_tk2338q2338: match=0 miss=98 abstain=8 err=0
recert DRIFT acq_tk4071q4071: match=0 miss=87 abstain=19 err=0
recert DRIFT acq_tk5028q5028: match=0 miss=90 abstain=16 err=0
recert DRIFT acq_tk3207q3207: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk1534q1534: match=0 miss=186 abstain=21 err=0
recert DRIFT acq_tk5232q5232: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk1774q1774: match=0 miss=184 abstain=23 err=0
recert DRIFT acq_tk2752q2752: match=0 miss=184 abstain=24 err=0
recert DRIFT acq_tk7068q7068: match=0 miss=182 abstain=25 err=0
recert DRIFT acq_tk2514q2514: match=0 miss=185 abstain=21 err=0
recert DRIFT acq_tk1531q1531: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk3305q3305: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk2390q2390: match=0 miss=187 abstain=19 err=0
recert DRIFT acq_tk3768q3768: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk2780q2780: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk2890q2890: match=0 miss=181 abstain=26 err=0
recert DRIFT acq_tk3732q3732: match=0 miss=87 abstain=19 err=0
recert DRIFT acq_tk3449q3449: match=0 miss=87 abstain=19 err=0
recert DRIFT acq_tk2036q2036: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk2748q2748: match=0 miss=179 abstain=28 err=0
recert DRIFT acq_tk2171q2171: match=0 miss=89 abstain=16 err=0
recert DRIFT acq_tk2528q2528: match=0 miss=180 abstain=27 err=0
recert DRIFT acq_tk3890q3890: match=0 miss=190 abstain=16 err=0
recert DRIFT acq_tk1765q1765: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk2891q2891: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk1374q1374: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk3104q3104: match=0 miss=179 abstain=29 err=0
recert DRIFT acq_tk1852q1852: match=0 miss=182 abstain=25 err=0
recert DRIFT acq_tk1975q1975: match=0 miss=183 abstain=25 err=0
recert DRIFT acq_tk2228q2228: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk6353q6353: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk7764q7764: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk1265q1265: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk2016q2016: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk3541q3541: match=0 miss=180 abstain=26 err=0
recert DRIFT acq_tk1902q1902: match=0 miss=179 abstain=30 err=0
recert DRIFT acq_tk5946q5946: match=0 miss=94 abstain=12 err=0
recert DRIFT acq_tk1523q1523: match=0 miss=98 abstain=8 err=0
recert DRIFT acq_tk7626q7626: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk1570q1570: match=0 miss=89 abstain=17 err=0
recert DRIFT acq_tk775q775: match=0 miss=98 abstain=8 err=0
recert DRIFT acq_tk2056q2056: match=0 miss=97 abstain=9 err=0
recert DRIFT acq_tk6083q6083: match=0 miss=190 abstain=17 err=0
recert DRIFT acq_tk3155q3155: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk1202q1202: match=0 miss=99 abstain=7 err=0
recert DRIFT acq_tk1135q1135: match=0 miss=178 abstain=27 err=0
recert DRIFT acq_tk2712q2712: match=0 miss=91 abstain=15 err=0
recert DRIFT acq_tk2214q2214: match=0 miss=89 abstain=17 err=0
recert DRIFT acq_tk3939q3939: match=0 miss=92 abstain=14 err=0
recert DRIFT acq_tk2352q2352: match=0 miss=185 abstain=21 err=0
recert DRIFT acq_tk1758q1758: match=0 miss=95 abstain=11 err=0
recert DRIFT acq_tk2679q2679: match=0 miss=93 abstain=13 err=0
recert DRIFT acq_tk3217q3217: match=0 miss=189 abstain=19 err=0
recert DRIFT acq_tk1134q1134: match=0 miss=185 abstain=22 err=0
recert DRIFT acq_tk1500q1500: match=0 miss=186 abstain=23 err=0
recert DRIFT acq_tk1288q1288: match=0 miss=98 abstain=8 err=0
recert DRIFT acq_tk1494q1494: match=0 miss=180 abstain=29 err=0
recert DRIFT acq_tk2563q2563: match=0 miss=187 abstain=22 err=0
recert DRIFT acq_tk1921q1921: match=0 miss=183 abstain=24 err=0
recert DRIFT acq_tk1590q1590: match=0 miss=96 abstain=10 err=0
recert DRIFT acq_tk2601q2601: match=0 miss=89 abstain=17 err=0
recert DRIFT acq_tk1581q1581: match=0 miss=183 abstain=24 err=0
recert DRIFT acq_tk1138q1138: match=0 miss=184 abstain=23 err=0
